3.01273e-28

Initial statistics: 625 variables; iteration 0; function evaluation 0
Function value   3.9769573e+01; maximum gradient component mag  -5.9319e+01
Var   Value    Gradient   |Var   Value    Gradient   |Var   Value    Gradient   
316  0.00000 -1.03385e+00 |317  0.00000 -4.83201e+00 |318  0.00000 -4.62285e+00
319  0.00000 -3.49473e+00 |320  0.00000  6.28031e+00 |321  0.00000  6.52274e+00
322  0.00000  1.46942e+01 |323  0.00000  4.77444e+00 |324  0.00000 -1.96820e+00
325  0.00000 -9.09341e+00 |326  0.00000  1.73743e+00 |327  0.00000 -4.60678e-01
328  0.00000  9.87789e+00 |329  0.00000 -6.17714e+00 |330  0.00000  6.27523e+00
331  0.00000 -1.58120e+00 |332  0.00000 -3.82555e+00 |333  0.00000  4.58537e-01
334  0.00000  2.32199e+00 |335  0.00000  5.01934e+00 |336  0.00000  3.41244e+00
337  0.00000  3.72935e+00 |338  0.00000 -4.00213e+00 |339  0.00000 -3.45968e+00
340  0.00000 -1.59991e+00 |341  0.00000 -2.78594e-01 |342  0.00000 -3.11001e+00
343  0.00000 -3.93242e+00 |344  0.00000 -3.43451e+00 |345  0.00000  6.55340e+00
346  0.00000  2.71049e+00 |347  0.00000  5.08336e+00 |348  0.00000  5.09163e+00
349  0.00000 -2.67180e+00 |350  0.00000 -5.21327e+00 |351  0.00000  1.03796e+00
352  0.00000  2.55470e+00 |353  0.00000 -1.59535e+01 |354  0.00000  8.29975e+00
355  0.00000 -9.94865e+00 |356  0.00000  2.47327e+00 |357  0.00000  7.02979e+00
358  0.00000 -2.05378e+00 |359  0.00000 -6.16411e+00 |360  0.00000 -9.61416e+00
361  0.00000 -5.20808e+00 |362  0.00000 -7.91022e+00 |363  0.00000  5.70580e+00
364  0.00000  2.14826e+00 |365  0.00000 -4.09192e-01 |366  0.00000  1.91144e+00
367  0.00000  3.21128e+00 |368  0.00000  5.98378e+00 |369  0.00000  4.63273e+00
370  0.00000 -6.84709e+00 |371  0.00000 -5.99763e+00 |372  0.00000 -1.10300e+01
373  0.00000 -6.59278e+00 |374  0.00000  3.15838e+00 |375  0.00000  8.10887e+00
376  0.00000  4.93682e+00 |377  0.00000  6.82188e+00 |378  0.00000 -1.62194e+01
379  0.00000  8.47254e+00 |380  0.00000 -1.13017e+01 |381  0.00000  1.53290e+00
382  0.00000  1.43845e+01 |383  0.00000 -4.10734e+00 |384  0.00000 -8.88505e+00
385  0.00000 -8.78380e+00 |386  0.00000 -3.01026e+00 |387  0.00000 -1.22787e+01
388  0.00000  7.07459e+00 |389  0.00000 -1.60154e+00 |390  0.00000 -1.01945e+00
391  0.00000  7.29239e+00 |392  0.00000 -2.58044e+00 |393  0.00000  9.54485e+00
394  0.00000  5.32289e+00 |395  0.00000 -2.75047e+00 |396  0.00000 -9.26574e+00
397  0.00000 -1.34628e+01 |398  0.00000 -8.69021e+00 |399  0.00000  6.23713e+00
400  0.00000  8.46514e+00 |401  0.00000  4.44555e-01 |402  0.00000  2.47605e+00
403  0.00000  8.34460e+00 |404  0.00000 -3.20687e+00 |405  0.00000  3.48572e+00
